bill_id,chamber,vote_id,OKL000171,OKL000267,OKL000180,OKL000254,OKL000172,OKL000193,OKL000197,OKL000186,OKL000167,OKL000200,OKL000257,OKL000183,OKL000065,OKL000201,OKL000185,OKL000190,OKL000261,OKL000187,OKL000256,OKL000203,OKL000178,OKL000198,OKL000165,OKL000184,OKL000191,OKL000264,OKL000194,OKL000259,OKL000195,OKL000202,OKL000265,OKL000188,OKL000253,OKL000266,OKL000189,OKL000260,OKL000169,OKL000096,OKL000166,OKL000058,OKL000116,OKL000066,OKL000093,OKL000051,OKL000064,OKL000103,OKL000086,OKL000074,OKL000092,OKL000115,OKL000056,OKL000123,OKL000090,OKL000109,OKL000146,OKL000108,OKL000132,OKL000143,OKL000125,OKL000118,OKL000111,OKL000121,OKL000098,OKL000060,OKL000104,OKL000105,OKL000087,OKL000113,OKL000054,OKL000124,OKL000126,OKL000057,OKL000100,OKL000106,OKL000133,OKL000077,OKL000134,OKL000149,OKL000082,OKL000174,OKL000130,OKL000061,OKL000084,OKL000097,OKL000110,OKL000127,OKL000147,OKL000055,OKL000062,OKL000129,OKL000140,OKL000075,OKL000063,OKL000072,OKL000089,OKL000107,OKL000069,OKL000059,OKL000144,OKL000081
OKB00011027,upper,OKV00012727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011666,lower,OKV00011917,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OKB00011666,upper,OKV00012758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00009876,lower,OKV00011681,1,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,,2,1,1,1,2,1,1,1,1,,2
OKB00009876,upper,OKV00012765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011300,lower,OKV00012026,,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2
OKB00011300,upper,OKV00012993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011861,upper,OKV00012510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011861,lower,OKV00013041,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,2,1,,1,1,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,2,1,1,,1,,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,,1,,1
OKB00011488,lower,OKV00011958,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
